"MOD_NAME","ITM_NAME","SEQ_NO","ITM_TYPE","FLD_LEN","DECML","DSCR","update_stamp"
"RFQ_landing","","0","","","","landing","2018-05-24 11:27:10.0"
"RFQ_landing","subjyob","1","NUMBER","4","0","Year of birth","2018-05-24 11:27:10.0"
"RFQ_landing","patno","2","NUMBER","6","0","PPMI patient number","2018-05-24 11:27:10.0"
"RFQ_smoking","","0","","","","smoking","2018-05-24 11:27:10.0"
"RFQ_smoking","patno","1","NUMBER","6","0","PPMI patient number","2018-05-24 11:27:10.0"
"RFQ_smoking","smoking_timestamp","2","CHAR","19","","smoking date stamp","2018-05-24 11:27:10.0"
"RFQ_smoking","datacompsm","3","CHAR","11","","Date of completion","2018-05-24 11:27:10.0"
"RFQ_smoking","compbysm","4","NUMBER","4","0","These questions were primarily completed by:","2018-05-24 11:27:10.0"
"RFQ_smoking","compby_relativespecifysm","5","CHAR","50","","Specify other relative","2018-05-24 11:27:10.0"
"RFQ_smoking","compby_otherspecifysm","6","CHAR","50","","Specify someone else","2018-05-24 11:27:10.0"
"RFQ_smoking","smq1","7","NUMBER","4","0","1) In your lifetime, have you smoked 100 or more cigarettes (5 packs)?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq2","8","NUMBER","4","0","2) In your lifetime, have you ever regularly smoked cigarettes, that is, at least one cigarette per day for 6 months or longer?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq3_age","9","NUMBER","4","0","3) At what age (or in what year) did you first start regularly smoking cigarettes?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq3_year","10","NUMBER","4","0","3) At what age (or in what year) did you first start regularly smoking cigarettes?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq3_9999","11","NUMBER","4","0","Don't know/prefer not to answer","2018-05-24 11:27:10.0"
"RFQ_smoking","smq4","12","NUMBER","4","0","4) Do you currently regularly smoke cigarettes?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq4_age","13","NUMBER","4","0","4.1) At what age (or in what year) did you last stop regularly smoking cigarettes?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq4_year","14","NUMBER","4","0","4.1) At what age (or in what year) did you last stop regularly smoking cigarettes?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq4_9999","15","NUMBER","4","0","Don't know/prefer not to answer","2018-05-24 11:27:10.0"
"RFQ_smoking","smq5","16","NUMBER","4","0","5) During all the years that you regularly smoked, did you ever stop smoking for a period of a year or more?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq5astart1","17","NUMBER","4","0","At what age did you first stop smoking?","2018-05-24 11:27:10.0"
"RFQ_smoking","smq5astop1","18","NUMBER","4","0","At what age did you start smoking at least 1 cigarette per day again?","2018-05-24 11:27:10.0"
